OBJECTID,Join_Count,TARGET_FID,adcode,level1,center_lng,center_lat,full_name,short_name,ADMINCODE,TYPE,CITYCODE,cid,Shape_Length,Shape_Area
182,1,182,141100,city,111.144699000000000,37.519126000000000,吕梁市,吕梁,141123,0137,141100,102,966651.630382583590000,21124469728.328773000000000
183,1,183,340500,city,118.507011000000010,31.670439999999999,马鞍山市,马鞍山,340500,0137,340500,82,229477.206051250510000,1699921588.880250200000000
184,1,184,440900,city,110.925439000000000,21.662991000000002,茂名市,茂名,440983,0137,440900,130,886701.465437399690000,11372210357.857166000000000
185,1,185,511400,city,103.848403000000000,30.076993999999999,眉山市,眉山,511422,0137,511400,53,785959.668808855930000,7197281363.856006600000000
186,1,186,441400,city,116.122523000000000,24.288578000000001,梅州市,梅州,441426,0137,441400,119,877983.416165498320000,15905471033.530434000000000
187,1,187,510700,city,104.679004000000010,31.467459000000002,绵阳市,绵阳,510727,0137,510700,54,1245700.616289948300000,20253021668.256950000000000
188,1,188,231000,city,129.633168000000010,44.551653000000002,牡丹江市,牡丹江,231025,0137,231000,353,1384206.854017258600000,38767146991.255363000000000
189,1,189,542400,city,92.052064000000001,31.476479000000001,那曲市,那曲,542425,0137,542400,305,4753825.597443321700000,352272290086.822200000000000
190,1,190,360100,city,115.858198000000000,28.682891999999999,南昌市,南昌,360122,0137,360100,180,557719.978109081970000,7401773437.939642900000000
191,1,191,511300,city,106.110698000000000,30.837793000000001,南充市,南充,511381,0137,511300,43,840611.766912528430000,12479413569.374060000000000
192,1,192,320100,city,118.796682000000000,32.059570000000001,南京市,南京,320100,0137,320100,165,703744.483825513280000,6591233195.867157000000000
193,1,193,450100,city,108.366542999999990,22.817001999999999,南宁市,南宁,450124,0137,450100,134,1188016.208357607200000,22093696696.006771000000000
194,1,194,350700,city,118.177710000000000,26.641774000000002,南平市,南平,350722,0137,350700,292,1187966.069621813300000,26313943747.382877000000000
195,1,195,320600,city,120.894676000000000,31.981142999999999,南通市,南通,320621,0137,320600,166,689353.811786938810000,9103241463.570032100000000
196,1,196,411300,city,112.528308000000000,32.990664000000002,南阳市,南阳,411323,0137,411300,202,1111696.377333104800000,26524274626.740913000000000
197,1,197,511000,city,105.058432000000000,29.580228000000002,内江市,内江,511025,0137,511000,41,676297.538871327070000,5366783071.222562800000000
198,1,198,330200,city,121.622485000000000,29.859971000000002,宁波市,宁波,330282,0137,330200,220,1614761.804987595000000,9100546836.679349900000000
199,1,199,350900,city,119.547932000000000,26.665617000000001,宁德市,宁德,350924,0137,350900,294,2089661.855999574100000,12984882911.534159000000000
200,1,200,533300,city,98.856600000000000,25.817554999999999,怒江傈僳族自治州,怒江,533323,0137,533300,7,1219544.049409572700000,14567493931.306046000000000
